Document,Clauses,Vars,WalkSat Time,WalkSat Clauses,WalkSat Solves,Local Search Time,Local Search Clauses Solved,Local Solve %
100.450.988280688.cnf,450,100,0.698875,448.7,0.2,0.286397,447.8,0
100.450.993732303.cnf,450,100,0.471345,449.2,0.6,0.14699,449.2,0.6
100.460.1014883666.cnf,460,100,0.429269,459.1,0.6,0.160903,458.8,0.5
100.460.1027890229.cnf,460,100,0.780954,457.6,0,0.294162,457.8,0
100.460.1034670663.cnf,460,100,0.860306,457.9,0,0.292336,457.6,0
100.460.1035710439.cnf,460,100,0.743566,456.6,0,0.291062,456.3,0
100.460.1058594877.cnf,460,100,0.970587,456.2,0,0.300645,457.3,0
100.460.1072412257.cnf,460,100,1.05011,457.8,0,0.293841,457.9,0
100.460.1092352123.cnf,460,100,0.839485,458.7,0.2,0.263498,458.1,0.1
100.460.1107530692.cnf,460,100,0.969733,455.9,0,0.295201,455.9,0
100.460.1120465449.cnf,460,100,0.86394,457.2,0,0.291597,457.2,0
100.460.1142210744.cnf,460,100,1.19106,457.3,0,0.29764,456.3,0
100.460.1189894898.cnf,460,100,0.803981,458.2,0,0.277908,457.9,0
100.460.1190504159.cnf,460,100,0.96639,457.2,0,0.299796,456.8,0
100.460.1220038146.cnf,460,100,0.837994,457,0,0.288661,457.7,0
100.460.1229087645.cnf,460,100,0.779813,459.1,0.1,0.2804,458.9,0
100.460.1248014670.cnf,460,100,0.356421,459.1,0.6,0.13085,458.9,0.6
100.460.133427116.cnf,460,100,0.861591,456.2,0,0.288179,456.5,0
100.460.1339750937.cnf,460,100,1.16087,456.4,0,0.287347,456.4,0
100.460.1365123519.cnf,460,100,0.984548,457.5,0,0.293002,457.6,0
100.460.152641495.cnf,460,100,0.747363,457.7,0,0.281732,457.5,0
100.460.152995728.cnf,460,100,0.691393,456.6,0,0.271589,457.1,0
100.460.294886552.cnf,460,100,1.07363,455.7,0,0.287096,456,0
100.460.353869069.cnf,460,100,0.876709,456.4,0,0.287514,456.8,0
100.460.361726079.cnf,460,100,1.18689,457,0,0.286707,457,0
100.460.377328835.cnf,460,100,1.21473,456.6,0,0.291225,457.3,0
100.460.387910811.cnf,460,100,1.09175,458.1,0.2,0.272353,457,0.1
100.460.472121275.cnf,460,100,1.01429,457,0,0.285623,457.2,0
100.460.492020851.cnf,460,100,0.889954,455.9,0,0.298252,456.6,0
100.460.494726053.cnf,460,100,0.659066,458.2,0.1,0.255086,458.7,0.3
100.460.501195765.cnf,460,100,1.09626,456.5,0,0.29865,456.7,0
100.460.531137970.cnf,460,100,0.698073,458.9,0.2,0.268511,457.9,0.1
100.460.543285046.cnf,460,100,1.07857,458.4,0,0.286991,457.4,0
100.460.560748751.cnf,460,100,1.20924,457.5,0,0.290271,457.1,0
100.460.597351851.cnf,460,100,1.07058,457.5,0,0.291846,456.8,0
100.460.620825221.cnf,460,100,1.03602,457.5,0,0.285143,457.5,0
100.460.655149865.cnf,460,100,0.911823,457.6,0,0.28378,457.7,0
100.460.673819371.cnf,460,100,1.04311,457,0,0.270697,457.2,0
100.460.700577847.cnf,460,100,0.804574,456.5,0,0.256216,457,0
100.460.701101784.cnf,460,100,1.02621,456.2,0,0.254726,455.7,0
100.460.745058687.cnf,460,100,0.481658,456.5,0,0.253206,456.6,0
100.460.798117943.cnf,460,100,0.949409,456,0,0.259784,456,0
100.460.80870092.cnf,460,100,0.818251,458.2,0,0.256221,458.2,0
100.460.815142642.cnf,460,100,0.679684,458.1,0,0.253171,458,0
100.460.817401592.cnf,460,100,0.925359,456,0,0.259366,455.6,0
100.460.852152153.cnf,460,100,0.873053,457.4,0.2,0.200583,457.6,0.3
100.460.85539484.cnf,460,100,0.816262,457.5,0,0.274252,456.7,0
100.460.90785379.cnf,460,100,0.623447,458.6,0.2,0.202549,458.6,0.2
100.460.921850402.cnf,460,100,0.820141,456.9,0,0.259222,457.5,0
100.460.943901411.cnf,460,100,1.0598,456.2,0,0.257067,456.2,0
100.460.962406099.cnf,460,100,0.720967,457.8,0.1,0.257984,456.6,0
100.460.991891494.cnf,460,100,0.909968,455.6,0,0.257922,455.9,0
